name,agents_average_initial_opinion,technology_success_rate,final_adaption
0_0_0_0,-1.0,0.0,0.0
0_0_0_1,-1.0,0.0,0.0
0_0_0_2,-1.0,0.0,0.0
0_0_0_3,-1.0,0.0,0.0
0_0_0_4,-1.0,0.0,0.0
0_0_0_5,-1.0,0.0,0.0
1_0_0_0,-1.0,0.0,0.0
1_0_0_1,-1.0,0.0,0.0
1_0_0_2,-1.0,0.0,0.0
1_0_0_3,-1.0,0.0,0.0
1_0_0_4,-1.0,0.0,0.0
1_0_0_5,-1.0,0.0,0.0
2_0_0_0,-1.0,0.0,0.0
2_0_0_1,-1.0,0.0,0.0
2_0_0_2,-1.0,0.0,0.0
2_0_0_3,-1.0,0.0,0.0
2_0_0_4,-1.0,0.0,0.0
2_0_0_5,-1.0,0.0,0.0
3_0_0_0,-1.0,0.0,0.0
3_0_0_1,-1.0,0.0,0.0
3_0_0_2,-1.0,0.0,0.0
3_0_0_3,-1.0,0.0,0.0
3_0_0_4,-1.0,0.0,0.0
3_0_0_5,-1.0,0.0,0.0
4_0_0_0,-1.0,0.0,0.0
4_0_0_1,-1.0,0.0,0.0
4_0_0_2,-1.0,0.0,0.0
4_0_0_3,-1.0,0.0,0.0
4_0_0_4,-1.0,0.0,0.0
4_0_0_5,-1.0,0.0,0.0
0_0_1_0,-1.0,0.1,0.0
0_0_1_1,-1.0,0.1,0.0
0_0_1_2,-1.0,0.1,0.0
0_0_1_3,-1.0,0.1,0.0
0_0_1_4,-1.0,0.1,0.0
0_0_1_5,-1.0,0.1,0.0
1_0_1_0,-1.0,0.1,0.0
1_0_1_1,-1.0,0.1,0.0
1_0_1_2,-1.0,0.1,0.0
1_0_1_3,-1.0,0.1,0.0
1_0_1_4,-1.0,0.1,0.0
1_0_1_5,-1.0,0.1,0.0
2_0_1_0,-1.0,0.1,0.0
2_0_1_1,-1.0,0.1,0.0
2_0_1_2,-1.0,0.1,0.0
2_0_1_3,-1.0,0.1,0.0
2_0_1_4,-1.0,0.1,0.0
2_0_1_5,-1.0,0.1,0.0
3_0_1_0,-1.0,0.1,0.0
3_0_1_1,-1.0,0.1,0.0
3_0_1_2,-1.0,0.1,0.0
3_0_1_3,-1.0,0.1,0.0
3_0_1_4,-1.0,0.1,0.0
3_0_1_5,-1.0,0.1,0.0
4_0_1_0,-1.0,0.1,0.0
4_0_1_1,-1.0,0.1,0.0
4_0_1_2,-1.0,0.1,0.0
4_0_1_3,-1.0,0.1,0.0
4_0_1_4,-1.0,0.1,0.0
4_0_1_5,-1.0,0.1,0.0
0_0_2_0,-1.0,0.2,0.0
0_0_2_1,-1.0,0.2,0.0
0_0_2_2,-1.0,0.2,0.0
0_0_2_3,-1.0,0.2,0.0
0_0_2_4,-1.0,0.2,0.0
0_0_2_5,-1.0,0.2,0.0
1_0_2_0,-1.0,0.2,0.0
1_0_2_1,-1.0,0.2,0.0
1_0_2_2,-1.0,0.2,0.0
1_0_2_3,-1.0,0.2,0.0
1_0_2_4,-1.0,0.2,0.0
1_0_2_5,-1.0,0.2,0.0
2_0_2_0,-1.0,0.2,0.0
2_0_2_1,-1.0,0.2,0.0
2_0_2_2,-1.0,0.2,0.0
2_0_2_3,-1.0,0.2,0.0
2_0_2_4,-1.0,0.2,0.0
2_0_2_5,-1.0,0.2,0.0
3_0_2_0,-1.0,0.2,0.0
3_0_2_1,-1.0,0.2,0.0
3_0_2_2,-1.0,0.2,0.0
3_0_2_3,-1.0,0.2,0.0
3_0_2_4,-1.0,0.2,0.0
3_0_2_5,-1.0,0.2,0.0
4_0_2_0,-1.0,0.2,0.0
4_0_2_1,-1.0,0.2,0.0
4_0_2_2,-1.0,0.2,0.0
4_0_2_3,-1.0,0.2,0.0
4_0_2_4,-1.0,0.2,0.0
4_0_2_5,-1.0,0.2,0.0
0_0_3_0,-1.0,0.3,0.0
0_0_3_1,-1.0,0.3,0.0
0_0_3_2,-1.0,0.3,0.0
0_0_3_3,-1.0,0.3,0.0
0_0_3_4,-1.0,0.3,0.0
0_0_3_5,-1.0,0.3,0.0
1_0_3_0,-1.0,0.3,0.0
1_0_3_1,-1.0,0.3,0.0
1_0_3_2,-1.0,0.3,0.0
1_0_3_3,-1.0,0.3,0.0
1_0_3_4,-1.0,0.3,0.0
1_0_3_5,-1.0,0.3,0.0
2_0_3_0,-1.0,0.3,0.0
2_0_3_1,-1.0,0.3,0.0
2_0_3_2,-1.0,0.3,0.0
2_0_3_3,-1.0,0.3,0.0
2_0_3_4,-1.0,0.3,0.0
2_0_3_5,-1.0,0.3,0.0
3_0_3_0,-1.0,0.3,0.0
3_0_3_1,-1.0,0.3,0.0
3_0_3_2,-1.0,0.3,0.0
3_0_3_3,-1.0,0.3,0.0
3_0_3_4,-1.0,0.3,0.0
3_0_3_5,-1.0,0.3,0.0
4_0_3_0,-1.0,0.3,0.0
4_0_3_1,-1.0,0.3,0.0
4_0_3_2,-1.0,0.3,0.0
4_0_3_3,-1.0,0.3,0.0
4_0_3_4,-1.0,0.3,0.0
4_0_3_5,-1.0,0.3,0.0
0_0_4_0,-1.0,0.4,0.0
0_0_4_1,-1.0,0.4,0.0
