name,agents_average_initial_opinion,technology_success_rate,final_adaption
0_0_0,-1.0,0.0,0.0
1_0_0,-1.0,0.0,0.0
2_0_0,-1.0,0.0,0.0
3_0_0,-1.0,0.0,0.0
4_0_0,-1.0,0.0,0.0
0_0_1,-1.0,0.1,0.0
1_0_1,-1.0,0.1,0.0
2_0_1,-1.0,0.1,0.0
3_0_1,-1.0,0.1,0.0
4_0_1,-1.0,0.1,0.0
0_0_2,-1.0,0.2,0.0
1_0_2,-1.0,0.2,0.0
2_0_2,-1.0,0.2,0.0
3_0_2,-1.0,0.2,0.0
4_0_2,-1.0,0.2,0.0
0_0_3,-1.0,0.3,0.0
1_0_3,-1.0,0.3,0.0
2_0_3,-1.0,0.3,0.0
3_0_3,-1.0,0.3,0.0
4_0_3,-1.0,0.3,0.0
0_0_4,-1.0,0.4,0.0
1_0_4,-1.0,0.4,0.0
2_0_4,-1.0,0.4,0.0
3_0_4,-1.0,0.4,0.0
4_0_4,-1.0,0.4,0.0
0_0_5,-1.0,0.5,0.0
1_0_5,-1.0,0.5,0.0
2_0_5,-1.0,0.5,0.0
3_0_5,-1.0,0.5,0.0
4_0_5,-1.0,0.5,0.0
0_0_6,-1.0,0.6,0.0
1_0_6,-1.0,0.6,0.0
2_0_6,-1.0,0.6,0.0
3_0_6,-1.0,0.6,0.0
4_0_6,-1.0,0.6,0.0
0_0_7,-1.0,0.7,0.0
1_0_7,-1.0,0.7,0.0
2_0_7,-1.0,0.7,0.0
3_0_7,-1.0,0.7,0.0
4_0_7,-1.0,0.7,0.0
0_0_8,-1.0,0.8,0.0
1_0_8,-1.0,0.8,0.0
2_0_8,-1.0,0.8,0.0
3_0_8,-1.0,0.8,0.0
4_0_8,-1.0,0.8,0.0
0_0_9,-1.0,0.9,0.0
1_0_9,-1.0,0.9,0.0
2_0_9,-1.0,0.9,0.0
3_0_9,-1.0,0.9,0.0
4_0_9,-1.0,0.9,0.0
0_0_10,-1.0,1.0,0.0
1_0_10,-1.0,1.0,0.0
2_0_10,-1.0,1.0,0.0
3_0_10,-1.0,1.0,0.0
4_0_10,-1.0,1.0,0.0
0_1_0,-0.9,0.0,0.0
1_1_0,-0.9,0.0,0.0
2_1_0,-0.9,0.0,0.0
3_1_0,-0.9,0.0,0.0
4_1_0,-0.9,0.0,0.0
0_1_1,-0.9,0.1,0.0
1_1_1,-0.9,0.1,0.0
2_1_1,-0.9,0.1,0.0
3_1_1,-0.9,0.1,0.0
4_1_1,-0.9,0.1,0.0
0_1_2,-0.9,0.2,0.0
1_1_2,-0.9,0.2,0.0
2_1_2,-0.9,0.2,0.0
3_1_2,-0.9,0.2,0.0
4_1_2,-0.9,0.2,0.0
0_1_3,-0.9,0.3,0.0
1_1_3,-0.9,0.3,0.0
2_1_3,-0.9,0.3,0.0
3_1_3,-0.9,0.3,0.0
4_1_3,-0.9,0.3,0.0
0_1_4,-0.9,0.4,0.0
1_1_4,-0.9,0.4,0.0
2_1_4,-0.9,0.4,0.0
3_1_4,-0.9,0.4,0.0
4_1_4,-0.9,0.4,0.0
0_1_5,-0.9,0.5,0.0
1_1_5,-0.9,0.5,0.0
2_1_5,-0.9,0.5,0.0
3_1_5,-0.9,0.5,0.0
4_1_5,-0.9,0.5,0.0
0_1_6,-0.9,0.6,0.0
1_1_6,-0.9,0.6,0.0
2_1_6,-0.9,0.6,0.0
3_1_6,-0.9,0.6,0.0
4_1_6,-0.9,0.6,0.0
0_1_7,-0.9,0.7,0.0
1_1_7,-0.9,0.7,0.0
2_1_7,-0.9,0.7,0.0
3_1_7,-0.9,0.7,0.0
4_1_7,-0.9,0.7,0.0
0_1_8,-0.9,0.8,0.0
1_1_8,-0.9,0.8,0.0
2_1_8,-0.9,0.8,0.0
3_1_8,-0.9,0.8,0.0
4_1_8,-0.9,0.8,0.0
0_1_9,-0.9,0.9,0.0
1_1_9,-0.9,0.9,0.0
2_1_9,-0.9,0.9,0.0
3_1_9,-0.9,0.9,0.0
4_1_9,-0.9,0.9,0.0
0_1_10,-0.9,1.0,0.0
1_1_10,-0.9,1.0,0.0
2_1_10,-0.9,1.0,0.0
3_1_10,-0.9,1.0,0.0
4_1_10,-0.9,1.0,0.0
0_2_0,-0.8,0.0,0.019164346047521475
1_2_0,-0.8,0.0,0.019164346047521475
2_2_0,-0.8,0.0,0.019164346047521475
3_2_0,-0.8,0.0,0.005500156422598179
4_2_0,-0.8,0.0,0.005500156422598179
0_2_1,-0.8,0.1,0.019164346047521475
1_2_1,-0.8,0.1,0.019164346047521475
2_2_1,-0.8,0.1,0.019164346047521475
3_2_1,-0.8,0.1,0.005500156422598179
4_2_1,-0.8,0.1,0.005500156422598179
0_2_2,-0.8,0.2,0.019164346047521475
1_2_2,-0.8,0.2,0.019164346047521475
2_2_2,-0.8,0.2,0.019164346047521475
3_2_2,-0.8,0.2,0.005500156422598179
4_2_2,-0.8,0.2,0.005500156422598179
0_2_3,-0.8,0.3,0.019164346047521475
1_2_3,-0.8,0.3,0.019164346047521475
2_2_3,-0.8,0.3,0.019164346047521475
3_2_3,-0.8,0.3,0.005500156422598179
4_2_3,-0.8,0.3,0.007597701384316327
0_2_4,-0.8,0.4,0.019164346047521475
1_2_4,-0.8,0.4,0.019164346047521475
2_2_4,-0.8,0.4,0.019164346047521475
3_2_4,-0.8,0.4,0.005500156422598179
4_2_4,-0.8,0.4,0.007597701384316327
0_2_5,-0.8,0.5,0.018107711924163536
1_2_5,-0.8,0.5,0.018107711924163536
2_2_5,-0.8,0.5,0.015736674225646993
3_2_5,-0.8,0.5,0.005500156422598179
4_2_5,-0.8,0.5,0.007583690455103312
0_2_6,-0.8,0.6,0.018107711924163536
1_2_6,-0.8,0.6,0.018107711924163536
2_2_6,-0.8,0.6,0.014845036872091554
3_2_6,-0.8,0.6,0.005500156422598179
4_2_6,-0.8,0.6,0.007631881255525354
0_2_7,-0.8,0.7,0.01481601717557594
1_2_7,-0.8,0.7,0.018081408622546813
2_2_7,-0.8,0.7,0.014250274940444455
3_2_7,-0.8,0.7,0.005500156422598179
4_2_7,-0.8,0.7,0.007658856569672189
0_2_8,-0.8,0.8,0.018775189660002516
1_2_8,-0.8,0.8,0.018081408622546813
2_2_8,-0.8,0.8,0.018775189660002516
3_2_8,-0.8,0.8,0.005500156422598179
4_2_8,-0.8,0.8,0.007015819155835757
0_2_9,-0.8,0.9,0.018775189660002516
1_2_9,-0.8,0.9,0.018081408622546813
2_2_9,-0.8,0.9,0.018775189660002516
3_2_9,-0.8,0.9,0.005500156422598179
4_2_9,-0.8,0.9,0.007015819155835757
0_2_10,-0.8,1.0,0.018775189660002516
1_2_10,-0.8,1.0,0.024841265394863244
2_2_10,-0.8,1.0,0.018775189660002516
3_2_10,-0.8,1.0,0.005500156422598179
4_2_10,-0.8,1.0,0.007015819155835757
0_3_0,-0.7,0.0,0.041861901297400694
1_3_0,-0.7,0.0,0.037895628144336044
2_3_0,-0.7,0.0,0.046105942964466226
3_3_0,-0.7,0.0,0.007293891914656049
4_3_0,-0.7,0.0,0.007249561263757942
0_3_1,-0.7,0.1,0.043629450458672066
1_3_1,-0.7,0.1,0.037895628144336044
2_3_1,-0.7,0.1,0.046105942964466226
3_3_1,-0.7,0.1,0.007293891914656049
4_3_1,-0.7,0.1,0.007248840015944048
0_3_2,-0.7,0.2,0.043629450458672066
1_3_2,-0.7,0.2,0.037895628144336044
2_3_2,-0.7,0.2,0.046105942964466226
3_3_2,-0.7,0.2,0.007293891914656049
4_3_2,-0.7,0.2,0.006014423947125343
0_3_3,-0.7,0.3,0.043629450458672066
1_3_3,-0.7,0.3,0.037895628144336044
2_3_3,-0.7,0.3,0.04119007326970104
3_3_3,-0.7,0.3,0.008557129997843015
4_3_3,-0.7,0.3,0.007291529627574612
0_3_4,-0.7,0.4,0.043629450458672066
1_3_4,-0.7,0.4,0.039758754575308065
2_3_4,-0.7,0.4,0.04937770307788006
3_3_4,-0.7,0.4,0.008557129997843015
4_3_4,-0.7,0.4,0.007291529627574612
0_3_5,-0.7,0.5,0.041083429025904325
1_3_5,-0.7,0.5,0.03311441048926132
2_3_5,-0.7,0.5,0.048974559960767224
3_3_5,-0.7,0.5,0.008557129997843015
4_3_5,-0.7,0.5,0.00608151774266528
0_3_6,-0.7,0.6,0.04415076899801198
1_3_6,-0.7,0.6,0.03311441048926132
2_3_6,-0.7,0.6,0.0475813723831989
3_3_6,-0.7,0.6,0.008557129997843015
4_3_6,-0.7,0.6,0.007414372534419704
0_3_7,-0.7,0.7,0.045542974581465605
1_3_7,-0.7,0.7,0.035387960375773755
2_3_7,-0.7,0.7,0.026791500302901006
3_3_7,-0.7,0.7,0.011437060379539024
4_3_7,-0.7,0.7,0.007423441468300637
0_3_8,-0.7,0.8,0.06736024553892178
1_3_8,-0.7,0.8,0.0381278690812096
2_3_8,-0.7,0.8,0.04474315069567643
3_3_8,-0.7,0.8,0.011437060379539024
4_3_8,-0.7,0.8,0.01
0_3_9,-0.7,0.9,0.06866446208794859
1_3_9,-0.7,0.9,0.043300211934599805
2_3_9,-0.7,0.9,0.07075367889731224
3_3_9,-0.7,0.9,0.011090333476067506
4_3_9,-0.7,0.9,0.01
0_3_10,-0.7,1.0,0.06597561890882551
1_3_10,-0.7,1.0,0.05295984412552865
2_3_10,-0.7,1.0,0.0707119128854474
3_3_10,-0.7,1.0,0.011090333476067506
4_3_10,-0.7,1.0,0.01
0_4_0,-0.6,0.0,0.06702761867648188
1_4_0,-0.6,0.0,0.06253679749875199
2_4_0,-0.6,0.0,0.057308135154783175
3_4_0,-0.6,0.0,0.03257720345823136
4_4_0,-0.6,0.0,0.04043908356000211
0_4_1,-0.6,0.1,0.048299054590949284
1_4_1,-0.6,0.1,0.0627211439983129
2_4_1,-0.6,0.1,0.05834823017564577
3_4_1,-0.6,0.1,0.03257720345823136
4_4_1,-0.6,0.1,0.04039178141226689
0_4_2,-0.6,0.2,0.04769838638247634
1_4_2,-0.6,0.2,0.0627211439983129
2_4_2,-0.6,0.2,0.056888007224203584
3_4_2,-0.6,0.2,0.028090299001163877
4_4_2,-0.6,0.2,0.04038209899835362
0_4_3,-0.6,0.3,0.05358192962602983
1_4_3,-0.6,0.3,0.07480313701750704
2_4_3,-0.6,0.3,0.03900782537080289
3_4_3,-0.6,0.3,0.02738002323385799
4_4_3,-0.6,0.3,0.04038209899835362
0_4_4,-0.6,0.4,0.04551270132097379
1_4_4,-0.6,0.4,0.07563610878528343
2_4_4,-0.6,0.4,0.03292331537799113
3_4_4,-0.6,0.4,0.02738564663948624
4_4_4,-0.6,0.4,0.04028526412753411
0_4_5,-0.6,0.5,0.03851458079464224
1_4_5,-0.6,0.5,0.07005071343231539
2_4_5,-0.6,0.5,0.026816465194456567
3_4_5,-0.6,0.5,0.02742712348518232
4_4_5,-0.6,0.5,0.04016909376537576
