name,agents_average_initial_opinion,technology_success_rate,k_S->Q,k_S->L,k_Q->L,k_Q->B,k_L->Q,k_L->B,k_B->S
0_0_0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_1,-1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_2,-1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_3,-1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_4,-1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_5,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_6,-1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_7,-1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_8,-1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_9,-1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_1,-0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_2,-0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_3,-0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_4,-0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_5,-0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_6,-0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_7,-0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_8,-0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_9,-0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_10,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_1,-0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_2,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_3,-0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_4,-0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_5,-0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_6,-0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_7,-0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_8,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_9,-0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_10,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_1,-0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_2,-0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_3,-0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_4,-0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_5,-0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_6,-0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3_7,-0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
