name,seed,teams_num,agents_average_initial_opinion,technology_success_rate
0_0_0_0,383329927,1,-1.0,0.0
0_0_0_1,383329927,5,-1.0,0.0
0_0_0_2,383329927,10,-1.0,0.0
0_0_0_3,383329927,15,-1.0,0.0
0_0_0_4,383329927,20,-1.0,0.0
0_0_0_5,383329927,25,-1.0,0.0
0_0_1_0,383329927,1,-1.0,0.1
0_0_1_1,383329927,5,-1.0,0.1
0_0_1_2,383329927,10,-1.0,0.1
0_0_1_3,383329927,15,-1.0,0.1
0_0_1_4,383329927,20,-1.0,0.1
0_0_1_5,383329927,25,-1.0,0.1
0_0_2_0,383329927,1,-1.0,0.2
0_0_2_1,383329927,5,-1.0,0.2
0_0_2_2,383329927,10,-1.0,0.2
0_0_2_3,383329927,15,-1.0,0.2
0_0_2_4,383329927,20,-1.0,0.2
0_0_2_5,383329927,25,-1.0,0.2
0_0_3_0,383329927,1,-1.0,0.3
0_0_3_1,383329927,5,-1.0,0.3
0_0_3_2,383329927,10,-1.0,0.3
0_0_3_3,383329927,15,-1.0,0.3
0_0_3_4,383329927,20,-1.0,0.3
0_0_3_5,383329927,25,-1.0,0.3
0_0_4_0,383329927,1,-1.0,0.4
0_0_4_1,383329927,5,-1.0,0.4
0_0_4_2,383329927,10,-1.0,0.4
0_0_4_3,383329927,15,-1.0,0.4
0_0_4_4,383329927,20,-1.0,0.4
0_0_4_5,383329927,25,-1.0,0.4
0_0_5_0,383329927,1,-1.0,0.5
0_0_5_1,383329927,5,-1.0,0.5
0_0_5_2,383329927,10,-1.0,0.5
0_0_5_3,383329927,15,-1.0,0.5
0_0_5_4,383329927,20,-1.0,0.5
0_0_5_5,383329927,25,-1.0,0.5
0_0_6_0,383329927,1,-1.0,0.6
0_0_6_1,383329927,5,-1.0,0.6
0_0_6_2,383329927,10,-1.0,0.6
0_0_6_3,383329927,15,-1.0,0.6
0_0_6_4,383329927,20,-1.0,0.6
0_0_6_5,383329927,25,-1.0,0.6
0_0_7_0,383329927,1,-1.0,0.7
0_0_7_1,383329927,5,-1.0,0.7
0_0_7_2,383329927,10,-1.0,0.7
0_0_7_3,383329927,15,-1.0,0.7
0_0_7_4,383329927,20,-1.0,0.7
0_0_7_5,383329927,25,-1.0,0.7
0_0_8_0,383329927,1,-1.0,0.8
0_0_8_1,383329927,5,-1.0,0.8
0_0_8_2,383329927,10,-1.0,0.8
0_0_8_3,383329927,15,-1.0,0.8
0_0_8_4,383329927,20,-1.0,0.8
0_0_8_5,383329927,25,-1.0,0.8
0_0_9_0,383329927,1,-1.0,0.9
0_0_9_1,383329927,5,-1.0,0.9
0_0_9_2,383329927,10,-1.0,0.9
0_0_9_3,383329927,15,-1.0,0.9
0_0_9_4,383329927,20,-1.0,0.9
0_0_9_5,383329927,25,-1.0,0.9
0_0_10_0,383329927,1,-1.0,1.0
0_0_10_1,383329927,5,-1.0,1.0
0_0_10_2,383329927,10,-1.0,1.0
0_0_10_3,383329927,15,-1.0,1.0
0_0_10_4,383329927,20,-1.0,1.0
0_0_10_5,383329927,25,-1.0,1.0
0_1_0_0,383329927,1,-0.9,0.0
0_1_0_1,383329927,5,-0.9,0.0
0_1_0_2,383329927,10,-0.9,0.0
0_1_0_3,383329927,15,-0.9,0.0
0_1_0_4,383329927,20,-0.9,0.0
0_1_0_5,383329927,25,-0.9,0.0
0_1_1_0,383329927,1,-0.9,0.1
0_1_1_1,383329927,5,-0.9,0.1
0_1_1_2,383329927,10,-0.9,0.1
0_1_1_3,383329927,15,-0.9,0.1
0_1_1_4,383329927,20,-0.9,0.1
0_1_1_5,383329927,25,-0.9,0.1
0_1_2_0,383329927,1,-0.9,0.2
0_1_2_1,383329927,5,-0.9,0.2
0_1_2_2,383329927,10,-0.9,0.2
0_1_2_3,383329927,15,-0.9,0.2
0_1_2_4,383329927,20,-0.9,0.2
0_1_2_5,383329927,25,-0.9,0.2
0_1_3_0,383329927,1,-0.9,0.3
0_1_3_1,383329927,5,-0.9,0.3
0_1_3_2,383329927,10,-0.9,0.3
0_1_3_3,383329927,15,-0.9,0.3
0_1_3_4,383329927,20,-0.9,0.3
0_1_3_5,383329927,25,-0.9,0.3
0_1_4_0,383329927,1,-0.9,0.4
0_1_4_1,383329927,5,-0.9,0.4
0_1_4_2,383329927,10,-0.9,0.4
0_1_4_3,383329927,15,-0.9,0.4
0_1_4_4,383329927,20,-0.9,0.4
0_1_4_5,383329927,25,-0.9,0.4
0_1_5_0,383329927,1,-0.9,0.5
0_1_5_1,383329927,5,-0.9,0.5
0_1_5_2,383329927,10,-0.9,0.5
0_1_5_3,383329927,15,-0.9,0.5
0_1_5_4,383329927,20,-0.9,0.5
0_1_5_5,383329927,25,-0.9,0.5
0_1_6_0,383329927,1,-0.9,0.6
0_1_6_1,383329927,5,-0.9,0.6
0_1_6_2,383329927,10,-0.9,0.6
0_1_6_3,383329927,15,-0.9,0.6
0_1_6_4,383329927,20,-0.9,0.6
0_1_6_5,383329927,25,-0.9,0.6
0_1_7_0,383329927,1,-0.9,0.7
0_1_7_1,383329927,5,-0.9,0.7
0_1_7_2,383329927,10,-0.9,0.7
0_1_7_3,383329927,15,-0.9,0.7
0_1_7_4,383329927,20,-0.9,0.7
0_1_7_5,383329927,25,-0.9,0.7
0_1_8_0,383329927,1,-0.9,0.8
0_1_8_1,383329927,5,-0.9,0.8
0_1_8_2,383329927,10,-0.9,0.8
0_1_8_3,383329927,15,-0.9,0.8
0_1_8_4,383329927,20,-0.9,0.8
0_1_8_5,383329927,25,-0.9,0.8
0_1_9_0,383329927,1,-0.9,0.9
0_1_9_1,383329927,5,-0.9,0.9
0_1_9_2,383329927,10,-0.9,0.9
0_1_9_3,383329927,15,-0.9,0.9
0_1_9_4,383329927,20,-0.9,0.9
0_1_9_5,383329927,25,-0.9,0.9
0_1_10_0,383329927,1,-0.9,1.0
0_1_10_1,383329927,5,-0.9,1.0
0_1_10_2,383329927,10,-0.9,1.0
0_1_10_3,383329927,15,-0.9,1.0
0_1_10_4,383329927,20,-0.9,1.0
0_1_10_5,383329927,25,-0.9,1.0
0_2_0_0,383329927,1,-0.8,0.0
0_2_0_1,383329927,5,-0.8,0.0
0_2_0_2,383329927,10,-0.8,0.0
0_2_0_3,383329927,15,-0.8,0.0
0_2_0_4,383329927,20,-0.8,0.0
0_2_0_5,383329927,25,-0.8,0.0
0_2_1_0,383329927,1,-0.8,0.1
0_2_1_1,383329927,5,-0.8,0.1
0_2_1_2,383329927,10,-0.8,0.1
0_2_1_3,383329927,15,-0.8,0.1
0_2_1_4,383329927,20,-0.8,0.1
0_2_1_5,383329927,25,-0.8,0.1
0_2_2_0,383329927,1,-0.8,0.2
0_2_2_1,383329927,5,-0.8,0.2
0_2_2_2,383329927,10,-0.8,0.2
0_2_2_3,383329927,15,-0.8,0.2
0_2_2_4,383329927,20,-0.8,0.2
0_2_2_5,383329927,25,-0.8,0.2
0_2_3_0,383329927,1,-0.8,0.3
0_2_3_1,383329927,5,-0.8,0.3
0_2_3_2,383329927,10,-0.8,0.3
0_2_3_3,383329927,15,-0.8,0.3
0_2_3_4,383329927,20,-0.8,0.3
0_2_3_5,383329927,25,-0.8,0.3
